thread_id,n_bins,auc_M_base,M_final_base,peak_M_base,peak_t_base,runs_base,veracity_bucket
498235547685756928,483,1445.8,4.15,4.15,349.1,20,unverified
498248415223246848,336,1744.825,6.0,6.0,173.75,20,unverified
498248648699150336,502,6115.175,13.4,13.4,302.65,20,unverified
498250100079341568,7,12.375,2.45,2.45,2.3,20,unverified
498251940997136384,812,2701.25,3.75,3.75,329.3,20,unverified
498253149707464704,19,26.225,1.7,1.7,4.5,20,unverified
498253652755111937,329,859.2,3.15,3.15,148.05,20,unverified
498254340310966273,526,1977.125,4.95,4.95,444.4,20,false
498254540870017025,32,53.75,2.35,2.35,15.25,20,unverified
498254929942028288,498,2219.05,5.65,5.65,264.05,20,false
498255721260400640,32,53.225,2.15,2.15,12.35,20,unverified
498255816034893824,574,2014.275,4.7,4.7,444.75,20,unverified
498256407980826625,70,254.475,4.15,4.15,23.2,20,unverified
498259432237969408,192,627.35,3.8,3.8,90.4,20,unverified
498259903962570752,358,1584.975,5.25,5.25,190.65,20,unverified
498262106937237504,52,241.575,6.7,6.7,43.15,20,unverified
498263598062661633,423,1118.775,3.5,3.5,244.6,20,unverified
498264107460870144,629,3990.925,9.0,9.0,401.95,20,unverified
498264393185239040,13,61.6,6.65,6.65,9.7,20,unverified
498265095559184384,248,930.675,4.15,4.15,74.8,20,unverified
498267196833808384,30,117.025,5.2,5.2,19.8,20,unverified
498267673789472768,85,385.4,5.85,5.85,54.8,20,unverified
498268463639851008,349,895.8,3.2,3.2,167.75,20,unverified
498269289812856832,17,28.95,2.1,2.1,4.8,20,unverified
498269697453084672,624,5930.275,11.75,11.75,318.5,20,unverified
498271954185379840,108,226.45,2.75,2.75,52.7,20,unverified
498272080564334592,141,479.85,3.65,3.65,30.4,20,unverified
498272309535191041,22,70.625,3.85,3.85,9.65,20,false
498272364560257025,47,114.825,3.5,3.5,31.55,20,unverified
498273703428620289,146,295.1,2.6,2.6,76.8,20,unverified
498274493337702401,13,23.05,2.3,2.3,4.4,20,unverified
498274692873351170,14,73.425,7.05,7.05,10.55,20,unverified
