strategy,tau_min,k,auc_M_mean,M_final_mean,peak_M_mean,peak_t_mean
bridges,0,1,874.3836733171731,4.287357822114488,4.287357822114488,70.26897631922432
bridges,0,3,818.2759276524333,4.002245012120082,4.002245012120082,69.6337758717136
bridges,0,5,817.009729628939,4.001290322580645,4.001290322580645,69.7202498601529
bridges,0,10,816.0055584560879,3.9938355398098078,3.9938355398098078,69.3126123438374
bridges,15,1,900.5149021070297,4.417359686742495,4.417359686742495,71.9320566846914
bridges,15,3,896.2252004475107,4.398318105537945,4.398318105537945,71.88262166697744
bridges,15,5,890.9649953384298,4.382804400522096,4.382804400522096,71.18481819876935
bridges,15,10,881.7106899123625,4.372713033749767,4.372713033749767,70.47996270743987
bridges,30,1,903.9124706321089,4.416848778668656,4.416848778668656,72.09036360246131
bridges,30,3,898.9142811859034,4.403401081484244,4.403401081484244,71.3587208651874
bridges,30,5,896.5639791161664,4.391646466529927,4.391646466529927,71.2141413388029
bridges,30,10,890.7833731120643,4.3736528062651505,4.3736528062651505,70.38476971844118
bridges,60,1,900.4546914040649,4.421387283236995,4.421387283236995,72.17717322394182
bridges,60,3,896.7091348126048,4.406955062465038,4.406955062465038,71.00879358567965
bridges,60,5,899.3361644601902,4.410863322767108,4.410863322767108,70.89106097333583
bridges,60,10,892.7765373857916,4.384400522095842,4.384400522095842,70.28502703710609
community,0,1,845.5894779041581,4.1331157933992175,4.1331157933992175,70.07187768040275
community,0,3,818.0428174529181,3.9916912176020882,3.9916912176020882,69.06596680962149
community,0,5,819.0601845981726,3.995752377400709,3.995752377400709,69.2274734290509
community,0,10,815.6710852135,3.9926869289576725,3.9926869289576725,70.30599664366959
community,15,1,893.6696979302629,4.3970538877493945,4.3970538877493945,71.96388215550998
community,15,3,886.7137777363416,4.3767070669401456,4.3767070669401456,70.73340294611225
community,15,5,883.5540089502146,4.367469699794891,4.367469699794891,70.7964982286034
community,15,10,881.9463192243148,4.3642662688793585,4.3642662688793585,70.68685437255267
community,30,1,896.778336751818,4.405388774939399,4.405388774939399,71.25021070296476
community,30,3,890.106102927466,4.386608241655789,4.386608241655789,70.96954316613835
community,30,5,887.5389427559202,4.37579712847287,4.37579712847287,70.46231959724035
community,30,10,885.1426403132576,4.368256572813723,4.368256572813723,70.04484803281746
community,60,1,900.5553645347753,4.415539809807943,4.415539809807943,72.07739697930263
community,60,3,896.1885493194109,4.39726645534216,4.39726645534216,70.46179750139846
community,60,5,892.4419634532911,4.393022561998881,4.393022561998881,70.38453104605631
community,60,10,894.4601883274287,4.391161663248182,4.391161663248182,70.4873913854186
earliest,0,1,818.0324258810368,4.00121946671639,4.00121946671639,69.4891404064889
earliest,0,3,818.1628976319224,3.9970128659332462,3.9970128659332462,69.48433712474362
earliest,0,5,815.7842121946672,4.000641432034309,4.000641432034309,69.75325750512772
earliest,0,10,819.23944807011,4.000701100130524,4.000701100130524,69.69776617564796
earliest,15,1,897.6633637889241,4.41348871900056,4.41348871900056,71.50312511653925
earliest,15,3,892.8933022562,4.39595002796942,4.39595002796942,71.79845608801044
earliest,15,5,889.6569028528808,4.384117098638821,4.384117098638821,71.11853440238673
earliest,15,10,884.4387749393997,4.374167443595002,4.374167443595002,70.46790229349244
earliest,30,1,900.5486108521351,4.413365653552116,4.413365653552116,71.79459630803655
earliest,30,3,897.9718105537946,4.405344023867238,4.405344023867238,71.82177512586239
earliest,30,5,896.6721088942755,4.3988140965877305,4.3988140965877305,71.82023494312884
earliest,30,10,886.7127354092859,4.380462427745664,4.380462427745664,70.60335633041208
earliest,60,1,901.5895860525825,4.416393809435018,4.416393809435018,71.76877121014357
earliest,60,3,896.8329778109266,4.40605258250979,4.40605258250979,71.82562371806824
earliest,60,5,895.4020156628752,4.4068021629684875,4.4068021629684875,70.9712213313444
earliest,60,10,894.014721238113,4.397214245757971,4.397214245757971,70.99734476971844
hubs,0,1,843.8972869662502,4.102062278575424,4.102062278575424,69.74815588290136
hubs,0,3,813.1734458325565,3.9926906582136863,3.9926906582136863,68.82104792093978
hubs,0,5,814.8404046242774,4.000540742121947,4.000540742121947,69.76073466343465
hubs,0,10,816.5472142457579,3.992217042699981,3.992217042699981,69.73793026291256
hubs,15,1,896.1547492075331,4.401182174156256,4.401182174156256,71.6669177699049
hubs,15,3,884.3891832929331,4.371829200074585,4.371829200074585,70.45231027410031
hubs,15,5,882.6385791534589,4.370904344583256,4.370904344583256,70.66206973708745
hubs,15,10,880.7518664926347,4.360686183106471,4.360686183106471,70.07911243706882
hubs,30,1,897.9237329852696,4.409356703337684,4.409356703337684,71.43419727764311
hubs,30,3,887.0885344023867,4.38284169308223,4.38284169308223,71.11156442289763
hubs,30,5,889.5334421033003,4.377676673503636,4.377676673503636,70.70765616259555
hubs,30,10,886.6991590527689,4.370606004102182,4.370606004102182,70.043889614022
hubs,60,1,898.4776393809435,4.407816520604139,4.407816520604139,72.451389147865
hubs,60,3,892.0929423829946,4.395051277270184,4.395051277270184,71.53753123251911
hubs,60,5,894.0456908446765,4.38984150661943,4.38984150661943,70.6276114115234
hubs,60,10,890.1584094723103,4.385597613276151,4.385597613276151,69.6560880104419
random,0,1,855.9267369009882,4.208968860712288,4.208968860712288,71.3490509043446
random,0,3,815.4866343464479,3.9948648144695134,3.9948648144695134,69.57771396606377
random,0,5,821.3567947044565,4.002446391944807,4.002446391944807,70.09470072720492
random,0,10,819.6221573746037,3.999295170613463,3.999295170613463,70.09986947603953
random,15,1,900.3115234010816,4.4130412082789485,4.4130412082789485,71.73502517247809
random,15,3,893.2346615700168,4.398881223195972,4.398881223195972,72.18384113369383
random,15,5,888.0046019019205,4.37934738019765,4.37934738019765,70.9334738019765
random,15,10,885.9673746037666,4.364654111504755,4.364654111504755,70.28580272235689
random,30,1,900.8774212194668,4.418064516129032,4.418064516129032,72.35116912176021
random,30,3,899.3243203430916,4.406078687301883,4.406078687301883,72.29667350363603
random,30,5,893.3131474920754,4.3899459257878055,4.3899459257878055,70.99180309528249
random,30,10,883.6647734476971,4.380995711355585,4.380995711355585,71.18512026850642
random,60,1,901.7243520417677,4.419668096214806,4.419668096214806,71.54590341226925
random,60,3,895.0301939213126,4.412202125675927,4.412202125675927,71.94096960656348
random,60,5,893.4523140033563,4.40002237553608,4.40002237553608,71.70964385605072
random,60,10,892.9018776804027,4.389155323512959,4.389155323512959,70.62613089688607
