strategy,tau_min,k,mean,std,count
bridges,0,1,25.07215178071975,265.4869823579191,5363
bridges,0,3,27.237797252781405,128.09118182573005,5363
bridges,0,5,16.616856237180684,77.20453714259361,5363
bridges,0,10,8.398288271489838,35.3526573823287,5363
bridges,15,1,-0.3516818944620504,291.75785649569684,5363
bridges,15,3,1.3537149605320407,83.13386264473515,5363
bridges,15,5,1.8689785567779231,46.55221789513457,5363
bridges,15,10,1.8388224874137613,25.060059517770984,5363
bridges,30,1,-3.8648573559574864,220.705088098007,5363
bridges,30,3,0.4764926347193754,80.51217456290038,5363
bridges,30,5,0.7389382808129779,53.716634092778676,5363
bridges,30,10,0.9801512213313442,29.420327872634605,5363
bridges,60,1,-0.063030020510903,249.68220954957155,5363
bridges,60,3,1.0681011871464985,77.51763198336452,5363
bridges,60,5,0.15891068431848004,53.29842462600548,5363
bridges,60,10,0.7443729256013426,27.307080066766186,5363
community,0,1,54.43419541301511,297.0285458992292,5363
community,0,3,27.297412517869354,112.38165331645784,5363
community,0,5,16.22526123438374,63.622664545746574,5363
community,0,10,8.44364683945553,35.457403697339444,5363
community,15,1,6.077590900615326,245.36970475183128,5363
community,15,3,4.501626577164524,96.45503038087394,5363
community,15,5,3.366004102181615,50.29598999473538,5363
community,15,10,1.832574118963267,27.849538580626778,5363
community,30,1,3.165705761700545,255.66849191090566,5363
community,30,3,3.573169867611413,113.22924201679996,5363
community,30,5,2.5630747715830697,58.735116550344834,5363
community,30,10,1.4996686556032075,27.09735572445558,5363
community,60,1,-0.4685922058549305,268.1311334125436,5363
community,60,3,1.503399838398907,88.81106938980616,5363
community,60,5,1.5186384486294986,50.27046637903473,5363
community,60,10,0.5863897072534031,24.469276027579504,5363
earliest,0,1,81.9964702591833,343.7029228401749,5363
earliest,0,3,27.271877680402763,122.89318419428923,5363
earliest,0,5,16.84786574678352,76.8806327932047,5363
earliest,0,10,8.069229162782026,31.868294904012657,5363
earliest,15,1,2.5915812045496955,249.1134621732551,5363
earliest,15,3,2.4678177636894776,83.89492140435198,5363
earliest,15,5,2.0826108521349997,48.44941013166295,5363
earliest,15,10,1.5801422711169124,28.97980656557157,5363
earliest,30,1,-0.45479582323326007,264.9068858679409,5363
earliest,30,3,0.7826925228416938,107.74161796100884,5363
earliest,30,5,0.7379295170613466,50.63191149327429,5363
earliest,30,10,1.328649449934738,27.4852593696448,5363
earliest,60,1,-1.4318217415625534,240.31697108193327,5363
earliest,60,3,1.076682826776059,81.82423613779288,5363
earliest,60,5,0.9798191310833493,51.070920835171584,5363
earliest,60,10,0.6172640313257506,26.593541666672202,5363
hubs,0,1,56.32436136490771,310.2078664054,5363
hubs,0,3,28.96777922804401,130.2771542102205,5363
hubs,0,5,17.04274100316987,70.40865342918286,5363
hubs,0,10,8.349794517993661,34.76843948151911,5363
hubs,15,1,4.106763005780351,243.82754880500732,5363
hubs,15,3,5.288395176828891,95.5877813193576,5363
hubs,15,5,3.6077352228230466,60.98158051854448,5363
hubs,15,10,1.9235702032444528,27.847064389396614,5363
hubs,30,1,2.5749766921499186,270.1580567985267,5363
hubs,30,3,4.38560445024551,88.85062518504007,5363
hubs,30,5,2.14049710982659,54.17169888161517,5363
hubs,30,10,1.3351920566846915,25.863889010308124,5363
hubs,60,1,1.4943501771396654,229.0588580203577,5363
hubs,60,3,2.7092883336441056,81.08968616268311,5363
hubs,60,5,1.2066071228789859,51.836544314755116,5363
hubs,60,10,1.0120688047734478,28.39631672792822,5363
random,0,1,39.244240164087266,314.01198904751743,5363
random,0,3,28.256449748275223,125.13704597864096,5363
random,0,5,15.749973895207907,63.63433566055773,5363
random,0,10,8.041887562931196,35.774566704735165,5363
random,15,1,0.6080701100130547,229.24107630369787,5363
random,15,3,1.959672447013488,95.68964185980609,5363
random,15,5,2.611791907514451,54.67232198630716,5363
random,15,10,1.4631721051650202,27.961048140500317,5363
random,30,1,-2.43696811486108,242.6005723027477,5363
random,30,3,0.19831002548324966,86.57452490766848,5363
random,30,5,1.462978183852322,53.13035412750422,5363
random,30,10,1.625914040648891,26.2526976650165,5363
random,60,1,-1.3757971284728683,245.6396206895047,5363
random,60,3,1.4080116850021762,82.00882596242691,5363
random,60,5,1.2113298526943874,53.42501354895464,5363
random,60,10,0.7549423829945933,26.469742474319382,5363
