strategy,tau_min,k,n_threads,mean_diff_dAUC,mean_diff_dM,paired_t_auc_p,paired_t_fin_p,wilcoxon_auc_p,wilcoxon_fin_p,cohen_d_auc,cohen_d_fin,cliffs_delta_auc,cliffs_delta_fin,wilcoxon_auc_p_adj,wilcoxon_fin_p_adj
bridges,0,1,5363,14.17208838336752,0.07176580272235689,4.9568928177191434e-05,1.5917532341255969e-28,6.021468569122612e-26,2.3056888708970505e-29,0.05545292467880783,0.15215813428776295,0.14861085213499906,0.13015103486854374,9.634349710596179e-25,3.689102193435281e-28
community,0,1,5363,-15.189955248927841,-0.08660824165578966,6.982549212070414e-07,7.909128927492854e-42,6.643372996833144e-34,5.780491168853359e-44,-0.0678357438563565,-0.18663300830076263,-0.17005407421219468,-0.1527130337497669,1.4172529059910707e-32,1.2331714493553832e-42
earliest,0,1,5363,-42.752230095096024,-0.215230281558829,1.6596101718905869e-21,9.249865414045048e-268,9.236290167720286e-216,1.3427964571872791e-275,-0.13061547100827298,-0.5059438335716443,-0.4201006899123625,-0.39157188140965876,5.911225707340983e-214,8.593897325998586e-274
hubs,0,1,5363,-17.08012120082044,-0.11427932127540553,4.327169524619573e-05,4.59456394776808e-72,8.331429644601258e-56,7.646992853194581e-79,-0.05588583738551286,-0.24888484114323808,-0.22189073279880664,-0.20958418795450307,2.6660574862724026e-54,2.447037713022266e-77
bridges,0,3,5363,3.0559574864814527,0.006943874696997951,0.2604877985332803,0.10032726508567147,0.28886036969537965,0.1618595027413713,0.015366916866226423,0.02244293896495262,0.012306544844303562,0.01286593324631736,0.4865016752764289,0.3237190054827426
community,0,3,5363,2.8771116912176047,-0.003766548573559577,0.2692314700197573,0.37750904847530997,0.23052426672370263,0.34549584583141035,0.015088224938266684,-0.012051594117094465,-0.012493007644974827,-0.016595189259742682,0.3987446775761343,0.4913718696268947
earliest,0,3,5363,2.9537162036173834,0.0017117285101622202,0.26053415876941904,0.6816371054508403,0.21737125737583152,0.526109143261025,0.015365422297701511,0.005602054937550886,0.014544098452358755,0.012493007644974827,0.3987446775761343,0.6758445373800231
hubs,0,3,5363,-2.1339884393063575,-0.002494872272981538,0.31852217979284764,0.537677242963077,0.7650612237280363,0.5826944050702763,-0.013622258880111884,-0.008416602487000326,0.0009323140033563305,0.0011187768040275966,0.859016110852532,0.6955920889877824
bridges,0,5,5363,-4.334411709863883,-0.0013947417490210786,0.1941790854565738,0.7342851095921648,0.9804413972951719,0.8827804214289133,-0.017730892143598107,-0.004635217498748154,-0.00037292560134253216,0.009136677232892038,0.9804413972951719,0.8877107122473507
community,0,5,5363,-2.376436695879167,-0.006988625769159056,0.3258379120894409,0.09413064208139041,0.04244132538952778,0.14823499414983982,-0.013417837443529786,-0.022862751548037605,-0.008204363229535707,-0.006899123624836845,0.18108298832865186,0.31896394988240717
