strategy,tau_min,k,bin_type,bin,n,mean_ic_dAUC,t_p,wilcoxon_p
bridges,0,1,size,small,1829,-15.876079825041007,3.502959039931689e-13,2.698902914592538e-53
bridges,0,1,size,medium,1931,-18.44811755567064,8.431400800292397e-06,1.1450571114412e-17
bridges,0,1,size,large,1603,-43.54415782907049,5.523276957954485e-05,2.992174092092682e-16
bridges,0,3,size,small,1829,-35.38421541826134,4.543293776592364e-40,5.911216202651532e-257
bridges,0,3,size,medium,1931,-64.53295442775764,5.070375229294757e-31,6.635869532414372e-201
bridges,0,3,size,large,1603,-155.27015283842795,4.48715542682982e-22,4.9990689311727974e-138
bridges,0,5,size,small,1829,-37.71724439584472,4.224332012063859e-38,5.309218611403708e-261
bridges,0,5,size,medium,1931,-63.65520714655619,3.8061370376847496e-30,1.6753598454747142e-206
bridges,0,5,size,large,1603,-158.2519993761697,8.720343863135325e-23,2.368212421426222e-137
bridges,0,10,size,small,1829,-35.883182066703114,1.5168598580051935e-40,4.848105176115186e-260
bridges,0,10,size,medium,1931,-68.35667788710512,3.512443723660052e-29,6.351073055635539e-200
bridges,0,10,size,large,1603,-157.6875327510917,1.458338214910153e-28,3.2479965488807947e-142
bridges,15,1,size,small,1829,0.3112137780207759,0.8508549130897586,0.32650058576573204
bridges,15,1,size,medium,1931,-2.74006473329881,0.5265824444245399,0.871312203993446
bridges,15,1,size,large,1603,4.122223955084203,0.7338969257189455,0.2851860264022744
bridges,15,3,size,small,1829,-1.090781848004372,0.5381813568541782,0.5086621406400513
bridges,15,3,size,medium,1931,1.7993552563438602,0.6631352228677756,0.9691079802753712
bridges,15,3,size,large,1603,-14.509940736119773,0.1488573742296522,0.0014073743047370115
bridges,15,5,size,small,1829,-0.016309458720612315,0.9918390859154753,0.20721402449260218
bridges,15,5,size,medium,1931,-1.909619368203006,0.5678019463023194,0.5901570632093114
bridges,15,5,size,large,1603,-28.94532439176544,0.002765818139562482,8.317779729317729e-08
bridges,15,10,size,small,1829,-1.3973701476216513,0.47054530085522683,0.201203203664025
bridges,15,10,size,medium,1931,-0.8508311755567058,0.8641872556376812,0.4388100196605079
bridges,15,10,size,large,1603,-58.9003774173425,5.336430253644458e-10,6.998635222420835e-11
bridges,30,1,size,small,1829,1.5724986331328599,0.31288589343386186,0.17189999092344987
bridges,30,1,size,medium,1931,0.949810978767475,0.7736080610747871,0.14344733246391228
bridges,30,1,size,large,1603,9.991918278228326,0.272038257684559,0.17689339610099486
bridges,30,3,size,small,1829,-0.526096227446694,0.7261613441238299,0.4735417851674565
bridges,30,3,size,medium,1931,2.9635551527705823,0.47687283851222795,0.9799775063158603
bridges,30,3,size,large,1603,-7.752142857142868,0.42323157423079383,0.01682182675596164
bridges,30,5,size,small,1829,-0.2776161837069439,0.8737262406520098,0.5936816045203768
bridges,30,5,size,medium,1931,3.166993785603314,0.49566665794607834,0.8475160351015009
bridges,30,5,size,large,1603,-15.859223331253899,0.1396600665822517,4.556838089940475e-06
bridges,30,10,size,small,1829,0.9692892290869332,0.5390668339391254,0.2515157422065608
bridges,30,10,size,medium,1931,-1.560339202485757,0.7067164772613654,0.1713959025184406
bridges,30,10,size,large,1603,-32.01829382407985,0.009512180575168358,6.349738973009235e-07
bridges,60,1,size,small,1829,-0.8196828868233996,0.6315613612762172,0.21712841464365362
bridges,60,1,size,medium,1931,2.7302874158467123,0.585822886677182,0.4490906371245319
bridges,60,1,size,large,1603,-2.1428290704928465,0.8212630082322891,0.467572315522481
bridges,60,3,size,small,1829,-0.9599179879715696,0.5359959952233695,0.33611808894529127
bridges,60,3,size,medium,1931,-1.5130269290523046,0.6838674213572771,0.8051036984286323
bridges,60,3,size,large,1603,-7.802454772301942,0.4102649831816729,0.07122027788427117
bridges,60,5,size,small,1829,0.07504647348277696,0.9636435276014703,0.34574677671125176
bridges,60,5,size,medium,1931,0.7155282237182788,0.8687402057854153,0.16805724598062877
bridges,60,5,size,large,1603,-3.6058234560199853,0.7394981716726698,0.23798557628261974
bridges,60,10,size,small,1829,-0.4363750683433553,0.828742006264761,0.40832089958908635
bridges,60,10,size,medium,1931,1.9006913516312818,0.7122947882116157,0.4919620685466325
bridges,60,10,size,large,1603,-26.695461634435436,0.011573033710616036,9.02002884665105e-05
community,0,1,size,small,1829,-29.47191361399672,2.1383309053754337e-29,9.381769954851415e-166
community,0,1,size,medium,1931,-44.52707146556188,7.466821542722455e-15,2.0805217719954786e-98
community,0,1,size,large,1603,-94.85008421709297,9.029324986487366e-17,6.602793370738747e-64
community,0,3,size,small,1829,-36.94756697648988,5.190413246534543e-38,1.4491340637103078e-259
community,0,3,size,medium,1931,-63.04491196271363,3.043460377304334e-25,2.895429415496478e-204
community,0,3,size,large,1603,-155.87725826575175,1.270380213715425e-31,2.3745621723454154e-138
community,0,5,size,small,1829,-38.869491525423726,5.272244198034124e-38,5.975029200381299e-262
community,0,5,size,medium,1931,-63.25659502848266,9.037014919036793e-30,2.753876157979366e-205
community,0,5,size,large,1603,-150.86687149095445,4.912564002186499e-33,1.5780607828862317e-138
community,0,10,size,small,1829,-36.269923455440136,2.3602644518009504e-41,5.137266302871508e-261
community,0,10,size,medium,1931,-66.72290781978249,6.192481598789817e-36,2.8663735297638975e-209
community,0,10,size,large,1603,-160.73184965689333,8.752072185464185e-28,1.0507243058083714e-140
community,15,1,size,small,1829,-0.2106560962274475,0.8914390801029326,0.21732694139630537
community,15,1,size,medium,1931,0.768728638011391,0.8428629821439404,0.6683661989733647
community,15,1,size,large,1603,-21.01886774797255,0.03626665765722912,0.0020654946960041894
community,15,3,size,small,1829,-1.1020721705850207,0.5248087606328875,0.30784665204513717
community,15,3,size,medium,1931,-3.3936224754013464,0.3274424761316631,0.4526659283900385
community,15,3,size,large,1603,-39.8364909544604,0.0012994925137872527,4.028414086491296e-08
community,15,5,size,small,1829,-2.058572990705301,0.2363445617586941,0.885985593396987
community,15,5,size,medium,1931,-0.5138865872604927,0.8902449145437484,0.6908944840767375
community,15,5,size,large,1603,-53.338711790393006,2.762335620627969e-07,6.629483438070078e-12
community,15,10,size,small,1829,-2.2943083652269,0.16989409111996348,0.8672764110931396
community,15,10,size,medium,1931,-0.8166105644743673,0.8528773576824548,0.5025905529613983
community,15,10,size,large,1603,-57.709160948222085,4.1073597227876615e-07,4.7476587528378706e-12
community,30,1,size,small,1829,-1.2450410060142152,0.43287766368388103,0.2607103635068243
