,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,-36.92199755800204,2.1134624963510524,-17.46990903398987,2.428816440413785e-68,-41.064307933526216,-32.779687182477865
C(strategy)[T.bridges],3.755637615669046,2.9938096805705805,1.2544677238645547,0.20967205013525325,-2.1121215348166555,9.623396766154748
C(strategy)[T.community],-8.464645860511473,2.951158766807256,-2.8682448249536385,0.004127560007983226,-14.248810756113334,-2.680480964909611
C(strategy)[T.earliest],-12.1034913736311,3.0661859901867095,-3.9474093914616315,7.900140177233037e-05,-18.113105484298334,-6.093877262963865
C(strategy)[T.hubs],-10.09490168735824,3.0470428632593065,-3.3130159765984075,0.0009229570746351687,-16.066995958696285,-4.122807416020194
tau_min,0.9118994539298889,0.04472546724973297,20.388818943760356,2.1015818483897966e-92,0.8242391489286865,0.9995597589310913
C(strategy)[T.bridges]:tau_min,-0.00817570922461083,0.06356773461325457,-0.1286141353683871,0.8976629808028694,-0.13276617964538998,0.11641476119616831
C(strategy)[T.community]:tau_min,0.07774511955810243,0.06269276276480326,1.2400971998916246,0.2149394445484044,-0.045130437552225705,0.20062067666843056
C(strategy)[T.earliest]:tau_min,0.17149840885072298,0.06355677371732078,2.6983498189113626,0.006968417181952782,0.04692942139121235,0.2960673963102336
C(strategy)[T.hubs]:tau_min,0.08026472656555966,0.063654728772977,1.2609389453503417,0.20733084524658885,-0.04449624927514076,0.20502570240626009
k,-1.9446344287415227,0.2902400705267331,-6.700089430147821,2.0829202681935874e-11,-2.513494513844285,-1.3757743436387606
C(strategy)[T.bridges]:k,-0.37954823136379096,0.4102564657204049,-0.9251486888751632,0.3548885696021806,-1.183636128600476,0.424539665872894
C(strategy)[T.community]:k,0.5592681335071824,0.41100351218582254,1.360738088423747,0.173596473331597,-0.246283947896499,1.3648202149108637
C(strategy)[T.earliest]:k,1.0589515191509609,0.4120264773343546,2.570105508757473,0.010166754550235725,0.2513944628987169,1.8665085754032047
C(strategy)[T.hubs]:k,0.6395504970432374,0.4120353682232991,1.552173784985949,0.12062064687920891,-0.16802398503112825,1.447124979117603
