strategy,tau_min,k,auc_M_mean,M_final_mean,peak_M_mean,peak_t_mean
bridges,0,1,2372.944092827004,11.335634829305715,11.335634829305715,156.68622938243192
bridges,0,3,2228.4515726889144,10.68584579976985,10.68584579976985,150.87015726889143
bridges,0,5,2228.4515726889144,10.68584579976985,10.68584579976985,150.87015726889143
bridges,0,10,2228.4515726889144,10.68584579976985,10.68584579976985,150.87015726889143
bridges,15,1,2422.478719325153,11.573236196319018,11.573236196319018,158.10563650306747
bridges,15,3,2422.428489263804,11.572469325153374,11.572469325153374,158.06997699386503
bridges,15,5,2422.289398006135,11.571127300613497,11.571127300613497,158.06978527607362
bridges,15,10,2422.141583588957,11.56997699386503,11.56997699386503,158.06978527607362
bridges,30,1,2422.4732553680983,11.572661042944786,11.572661042944786,158.10237730061348
bridges,30,3,2422.4724884969323,11.572277607361963,11.572277607361963,158.06729294478527
bridges,30,5,2422.4724884969323,11.572277607361963,11.572277607361963,158.06729294478527
bridges,30,10,2422.3894746932515,11.57151073619632,11.57151073619632,158.06729294478527
bridges,60,1,2422.4851418711655,11.573427914110429,11.573427914110429,158.10563650306747
bridges,60,3,2422.48504601227,11.573236196319018,11.573236196319018,158.07055214723925
bridges,60,5,2422.3481595092026,11.572852760736197,11.572852760736197,158.07016871165644
bridges,60,10,2422.306269171779,11.572277607361963,11.572277607361963,158.07016871165644
community,0,1,2302.0677023398543,10.953778289221328,10.953778289221328,153.28691983122363
community,0,3,2228.4515726889144,10.68584579976985,10.68584579976985,150.87015726889143
community,0,5,2228.4515726889144,10.68584579976985,10.68584579976985,150.87015726889143
community,0,10,2228.4515726889144,10.68584579976985,10.68584579976985,150.87015726889143
community,15,1,2422.3445168711655,11.57170245398773,11.57170245398773,158.07055214723925
community,15,3,2422.1834739263804,11.570168711656441,11.570168711656441,158.06997699386503
community,15,5,2422.1834739263804,11.570168711656441,11.570168711656441,158.06997699386503
community,15,10,2422.0916411042945,11.56978527607362,11.56978527607362,158.06978527607362
community,30,1,2422.4348159509204,11.572085889570552,11.572085889570552,158.06729294478527
community,30,3,2422.2931365030677,11.571319018404909,11.571319018404909,158.06729294478527
community,30,5,2422.2931365030677,11.571319018404909,11.571319018404909,158.06729294478527
community,30,10,2422.2931365030677,11.571319018404909,11.571319018404909,158.06729294478527
community,60,1,2422.307707055215,11.572469325153374,11.572469325153374,158.07016871165644
community,60,3,2422.307707055215,11.572469325153374,11.572469325153374,158.07016871165644
community,60,5,2422.2152032208587,11.57189417177914,11.57189417177914,158.07016871165644
community,60,10,2422.165260736196,11.57170245398773,11.57170245398773,158.07016871165644
earliest,0,1,2111.191404064889,10.100689912362483,10.100689912362483,150.77773634159985
earliest,0,3,2109.9518925974266,10.091926160730933,10.091926160730933,150.69587917210515
earliest,0,5,2109.9518925974266,10.091926160730933,10.091926160730933,150.69587917210515
earliest,0,10,2109.9518925974266,10.091926160730933,10.091926160730933,150.69587917210515
earliest,15,1,2374.220585493194,11.405929517061347,11.405929517061347,157.78668655603207
earliest,15,3,2374.175741189633,11.40499720305799,11.40499720305799,157.75256386350924
earliest,15,5,2374.168282677606,11.404624277456648,11.404624277456648,157.75256386350924
earliest,15,10,2374.022468767481,11.402759649449935,11.402759649449935,157.75181801230656
earliest,30,1,2374.220585493194,11.405929517061347,11.405929517061347,157.78668655603207
earliest,30,3,2374.220492261794,11.405743054260675,11.405743054260675,157.75256386350924
earliest,30,5,2374.220492261794,11.405743054260675,11.405743054260675,157.75256386350924
earliest,30,10,2374.139101249301,11.404810740257318,11.404810740257318,157.75256386350924
earliest,60,1,2374.220585493194,11.405929517061347,11.405929517061347,157.78668655603207
earliest,60,3,2374.220492261794,11.405743054260675,11.405743054260675,157.75256386350924
earliest,60,5,2374.220492261794,11.405743054260675,11.405743054260675,157.75256386350924
earliest,60,10,2374.138355398098,11.404810740257318,11.404810740257318,157.75256386350924
hubs,0,1,2274.934599156118,10.863636363636363,10.863636363636363,151.80149597238204
hubs,0,3,2228.4515726889144,10.68584579976985,10.68584579976985,150.87015726889143
hubs,0,5,2228.4515726889144,10.68584579976985,10.68584579976985,150.87015726889143
hubs,0,10,2228.4515726889144,10.68584579976985,10.68584579976985,150.87015726889143
hubs,15,1,2422.3445168711655,11.57170245398773,11.57170245398773,158.07055214723925
hubs,15,3,2422.1834739263804,11.570168711656441,11.570168711656441,158.06997699386503
hubs,15,5,2422.1833780674847,11.56997699386503,11.56997699386503,158.06978527607362
hubs,15,10,2422.0916411042945,11.56978527607362,11.56978527607362,158.06978527607362
hubs,30,1,2422.4348159509204,11.572085889570552,11.572085889570552,158.06729294478527
hubs,30,3,2422.3842024539877,11.57170245398773,11.57170245398773,158.06729294478527
hubs,30,5,2422.2931365030677,11.571319018404909,11.571319018404909,158.06729294478527
hubs,30,10,2422.2895897239264,11.571127300613497,11.571127300613497,158.06729294478527
hubs,60,1,2422.307707055215,11.572469325153374,11.572469325153374,158.07016871165644
hubs,60,3,2422.307707055215,11.572469325153374,11.572469325153374,158.07016871165644
hubs,60,5,2422.306269171779,11.572277607361963,11.572277607361963,158.07016871165644
hubs,60,10,2422.165260736196,11.57170245398773,11.57170245398773,158.07016871165644
random,0,1,2254.3056125303,10.755174342718627,10.755174342718627,153.88085027037107
random,0,3,2109.9518925974266,10.091926160730933,10.091926160730933,150.69587917210515
random,0,5,2109.9518925974266,10.091926160730933,10.091926160730933,150.69587917210515
random,0,10,2109.9518925974266,10.091926160730933,10.091926160730933,150.69587917210515
random,15,1,2374.214898377774,11.40499720305799,11.40499720305799,157.7520044751072
random,15,3,2374.1152340108147,11.404064889054634,11.404064889054634,157.75256386350924
random,15,5,2374.071974641059,11.403319037851949,11.403319037851949,157.7520044751072
random,15,10,2373.925321648331,11.402386723848592,11.402386723848592,157.75181801230656
