community,n_nodes
-1,28019
0,2536
1,2017
2,1179
3,734
4,711
5,377
6,349
7,314
8,240
9,230
10,227
11,201
12,198
13,193
14,191
15,186
16,184
17,172
18,169
19,168
20,167
21,153
22,151
23,149
24,137
25,132
26,131
27,129
28,128
29,117
30,109
33,108
31,108
32,108
34,107
35,106
37,104
36,104
38,100
39,97
40,95
41,94
42,93
43,88
44,87
45,85
46,83
47,79
48,78
49,78
50,77
52,75
51,75
53,72
54,72
55,67
56,66
57,61
58,60
59,58
60,53
62,52
61,52
63,52
64,48
66,47
65,47
67,46
68,46
69,44
70,42
71,41
72,37
73,34
74,33
76,32
75,32
77,30
78,26
79,26
80,23
82,22
81,22
84,20
83,20
85,19
86,18
87,17
89,17
88,17
90,15
91,15
92,13
93,13
94,12
95,12
97,11
96,11
99,11
98,11
103,10
102,10
101,10
100,10
109,10
105,10
106,10
108,10
107,10
104,10
110,9
116,9
115,9
112,9
111,9
114,9
117,9
113,9
121,8
129,8
125,8
124,8
118,8
120,8
130,8
119,8
127,8
122,8
126,8
123,8
128,8
135,7
136,7
137,7
132,7
138,7
133,7
134,7
131,7
139,6
140,6
150,6
146,6
144,6
145,6
143,6
148,6
151,6
147,6
149,6
142,6
141,6
166,5
165,5
177,5
160,5
163,5
170,5
169,5
159,5
161,5
171,5
162,5
168,5
156,5
175,5
157,5
158,5
153,5
152,5
172,5
164,5
176,5
173,5
167,5
154,5
155,5
174,5
179,5
178,5
218,4
230,4
228,4
219,4
220,4
182,4
180,4
223,4
183,4
199,4
192,4
221,4
197,4
216,4
224,4
227,4
206,4
181,4
207,4
222,4
195,4
194,4
208,4
203,4
225,4
209,4
210,4
188,4
200,4
232,4
205,4
186,4
217,4
187,4
229,4
198,4
201,4
185,4
189,4
226,4
215,4
190,4
204,4
214,4
202,4
196,4
191,4
231,4
212,4
193,4
213,4
184,4
211,4
276,3
282,3
317,3
327,3
270,3
318,3
311,3
279,3
277,3
278,3
314,3
274,3
281,3
319,3
265,3
280,3
313,3
322,3
249,3
283,3
294,3
323,3
306,3
264,3
269,3
293,3
273,3
298,3
302,3
275,3
295,3
326,3
251,3
296,3
328,3
301,3
303,3
284,3
286,3
285,3
312,3
310,3
321,3
308,3
272,3
287,3
292,3
297,3
252,3
288,3
289,3
291,3
304,3
307,3
247,3
235,3
259,3
243,3
266,3
244,3
245,3
234,3
299,3
263,3
261,3
246,3
238,3
260,3
250,3
258,3
267,3
248,3
256,3
237,3
236,3
305,3
240,3
255,3
254,3
300,3
253,3
324,3
320,3
316,3
315,3
262,3
242,3
271,3
325,3
257,3
239,3
290,3
268,3
241,3
233,3
309,3
349,2
412,2
343,2
482,2
494,2
495,2
501,2
350,2
481,2
344,2
416,2
488,2
496,2
497,2
351,2
498,2
499,2
480,2
486,2
483,2
493,2
448,2
485,2
378,2
353,2
512,2
348,2
533,2
346,2
489,2
420,2
484,2
355,2
490,2
352,2
354,2
491,2
492,2
487,2
347,2
345,2
414,2
377,2
445,2
515,2
517,2
332,2
453,2
330,2
468,2
519,2
421,2
331,2
536,2
520,2
418,2
522,2
525,2
526,2
388,2
532,2
523,2
529,2
383,2
372,2
405,2
524,2
500,2
527,2
329,2
516,2
514,2
342,2
535,2
341,2
340,2
503,2
534,2
537,2
504,2
505,2
506,2
338,2
337,2
507,2
336,2
335,2
334,2
508,2
384,2
509,2
510,2
502,2
385,2
511,2
513,2
528,2
387,2
333,2
411,2
360,2
479,2
397,2
438,2
439,2
403,2
440,2
401,2
400,2
441,2
442,2
399,2
443,2
398,2
444,2
478,2
395,2
394,2
409,2
393,2
446,2
392,2
447,2
449,2
450,2
451,2
391,2
406,2
373,2
437,2
407,2
415,2
417,2
379,2
422,2
423,2
424,2
425,2
521,2
426,2
435,2
427,2
428,2
429,2
419,2
430,2
408,2
431,2
432,2
433,2
434,2
339,2
436,2
396,2
452,2
454,2
455,2
404,2
467,2
363,2
469,2
470,2
362,2
518,2
471,2
472,2
473,2
380,2
361,2
413,2
474,2
359,2
386,2
358,2
475,2
357,2
402,2
476,2
356,2
477,2
381,2
364,2
365,2
456,2
466,2
390,2
457,2
389,2
458,2
459,2
382,2
460,2
461,2
376,2
375,2
374,2
462,2
530,2
410,2
463,2
371,2
370,2
369,2
368,2
464,2
465,2
367,2
366,2
531,2
