node,in_degree,in_strength,pagerank
2886586060,63.0,81.0,0.0007028071380544
124227622,23.0,74.0,0.0004871316753957
720725023,8.0,47.0,0.0004756577171698
2273282888,23.0,41.0,0.0004625659575536
261093402,22.0,44.0,0.0004343961808085
2370908751,25.0,50.0,0.0004003902142963
1348798826,55.0,69.0,0.0003953170847445
601342849,50.0,54.0,0.0003818021135634
2723735572,24.0,45.0,0.0003802966841176
2707815410,17.0,66.0,0.00037697112706
14849562,30.0,32.0,0.0003591709661773
15883532,13.0,52.0,0.0003475276123585
16948493,15.0,54.0,0.0003357786928233
43568964,14.0,14.0,0.0003185496375297
2736882208,12.0,54.0,0.0003118796946872
447356935,13.0,48.0,0.0003107728413343
1548477050,7.0,38.0,0.0003026587200106
539573373,17.0,28.0,0.0003003750440379
392340964,12.0,15.0,0.0002995392539688
508110571,20.0,23.0,0.000296913849654
1293169428,16.0,35.0,0.0002935078556658
1931711646,22.0,39.0,0.0002918188171078
12004852,19.0,27.0,0.0002833451289539
100880543,9.0,69.0,0.000281388979821
130586534,13.0,37.0,0.0002756112047138
162128725,12.0,24.0,0.0002749100310094
369437673,10.0,37.0,0.0002747141012888
2551157894,7.0,44.0,0.0002741930119031
218325978,8.0,11.0,0.0002734254710437
47694347,15.0,21.0,0.0002734143851937
27637361,15.0,16.0,0.0002699846715232
376109186,13.0,28.0,0.0002662861953549
467460248,11.0,31.0,0.0002637327799619
279788564,17.0,30.0,0.0002601629514007
347883924,14.0,21.0,0.00025732602978
787887222,4.0,15.0,0.0002563441931204
1315820114,8.0,25.0,0.0002562590074944
567039350,9.0,32.0,0.0002552914412258
1080276308,14.0,28.0,0.0002547514252644
702591266,12.0,38.0,0.0002543862788157
2791235354,9.0,13.0,0.0002502646572569
556633808,8.0,18.0,0.0002483837725981
260505307,4.0,24.0,0.0002471474856095
2705994475,12.0,25.0,0.0002446473355402
78898625,16.0,16.0,0.0002437451002309
2201786204,9.0,26.0,0.0002433305405126
26552390,11.0,49.0,0.0002423217426114
20048693,7.0,17.0,0.0002404922500251
100136358,14.0,25.0,0.0002403246714369
1414017500,2.0,9.0,0.0002384007024086
