event,category,thread_id,n_nodes,depth,duration_min,veracity_normalized,is_rumour_normalized
charliehebdo-all-rnr-threads,rumours,552783238415265792,10,1,114.35,Unverified,
charliehebdo-all-rnr-threads,rumours,552783667052167168,8,1,636.5166666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552783745565347840,6,1,84.28333333333333,Unverified,
charliehebdo-all-rnr-threads,rumours,552784168849907712,14,1,97.28333333333332,Unverified,
charliehebdo-all-rnr-threads,rumours,552784526955806720,17,1,134.08333333333334,Unverified,
charliehebdo-all-rnr-threads,rumours,552784882687299584,25,1,169.58333333333334,Unverified,
charliehebdo-all-rnr-threads,rumours,552785367972450304,11,1,204.9,False,
charliehebdo-all-rnr-threads,rumours,552785375161499649,4,1,10.716666666666669,Unverified,
charliehebdo-all-rnr-threads,rumours,552785443813457921,11,1,175.06666666666666,Unverified,
charliehebdo-all-rnr-threads,rumours,552785695845396480,5,1,127.05,Unverified,
charliehebdo-all-rnr-threads,rumours,552786016906383360,15,1,175.36666666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552786099899494400,21,1,12641.8,False,
charliehebdo-all-rnr-threads,rumours,552786361758265344,13,1,480.4,Unverified,
charliehebdo-all-rnr-threads,rumours,552786818853113857,14,1,167.41666666666666,Unverified,
charliehebdo-all-rnr-threads,rumours,552787544837197824,8,1,654.85,Unverified,
charliehebdo-all-rnr-threads,rumours,552788396733906944,3,1,4.216666666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552788886355996672,61,1,230.0,Unverified,
charliehebdo-all-rnr-threads,rumours,552788945017516032,28,1,225.15,Unverified,
charliehebdo-all-rnr-threads,rumours,552788947219533824,4,1,37.28333333333333,Unverified,
charliehebdo-all-rnr-threads,rumours,552789127792717826,7,1,24.883333333333333,Unverified,
charliehebdo-all-rnr-threads,rumours,552789521646247936,33,1,331.96666666666664,Unverified,
charliehebdo-all-rnr-threads,rumours,552790074166108160,9,1,19.616666666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552790371848040449,14,1,329.75,False,
charliehebdo-all-rnr-threads,rumours,552790742700417024,20,1,514.65,Unverified,
charliehebdo-all-rnr-threads,rumours,552790824971677696,25,1,123.68333333333334,Unverified,
charliehebdo-all-rnr-threads,rumours,552790838015979520,20,1,36.05,Unverified,
charliehebdo-all-rnr-threads,rumours,552790875492073472,6,1,35.833333333333336,Unverified,
charliehebdo-all-rnr-threads,rumours,552790878805168129,6,1,49.65,Unverified,
charliehebdo-all-rnr-threads,rumours,552791034447794176,9,1,14.366666666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552791065645027328,9,1,28.916666666666668,Unverified,
charliehebdo-all-rnr-threads,rumours,552791115599192064,8,1,501.8,False,
charliehebdo-all-rnr-threads,rumours,552791182670327808,16,1,244.31666666666663,False,
charliehebdo-all-rnr-threads,rumours,552791196247269378,23,1,534.3333333333334,Unverified,
charliehebdo-all-rnr-threads,rumours,552791578893619200,21,1,137.06666666666666,Unverified,
charliehebdo-all-rnr-threads,rumours,552792193992519680,7,1,45.11666666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552792271243210754,134,1,773.0,Unverified,
charliehebdo-all-rnr-threads,rumours,552792544132997121,18,1,97.03333333333332,Unverified,
charliehebdo-all-rnr-threads,rumours,552792802309181440,9,1,165.7,Unverified,
charliehebdo-all-rnr-threads,rumours,552792913910833152,6,1,49.1,Unverified,
charliehebdo-all-rnr-threads,rumours,552792988376915969,17,1,321.56666666666666,Unverified,
charliehebdo-all-rnr-threads,rumours,552793539856588801,6,1,67.56666666666666,False,
charliehebdo-all-rnr-threads,rumours,552793551231541249,27,1,134.68333333333334,False,
charliehebdo-all-rnr-threads,rumours,552793552376569857,172,1,945.6833333333332,Unverified,
charliehebdo-all-rnr-threads,rumours,552793679082311680,16,1,36.11666666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552794157484634112,25,1,305.51666666666665,False,
charliehebdo-all-rnr-threads,rumours,552794942759010304,8,1,234.13333333333333,Unverified,
charliehebdo-all-rnr-threads,rumours,552795050502270976,6,1,30.08333333333333,Unverified,
charliehebdo-all-rnr-threads,rumours,552795566242279424,4,1,9.283333333333331,Unverified,
charliehebdo-all-rnr-threads,rumours,552795585095671808,5,1,139.78333333333333,False,
charliehebdo-all-rnr-threads,rumours,552795693682032640,9,1,48.06666666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552795773180858368,105,1,987.7,Unverified,
charliehebdo-all-rnr-threads,rumours,552796091255894016,16,1,517.2666666666667,False,
charliehebdo-all-rnr-threads,rumours,552796863297236992,6,1,182.26666666666668,False,
charliehebdo-all-rnr-threads,rumours,552797406094716929,20,1,108.96666666666668,Unverified,
charliehebdo-all-rnr-threads,rumours,552797638807281664,15,1,64.78333333333333,False,
charliehebdo-all-rnr-threads,rumours,552798654495354880,25,1,49.96666666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552798891994009601,7,1,114.13333333333334,Unverified,
charliehebdo-all-rnr-threads,rumours,552799062421164032,22,1,371.3333333333333,False,
charliehebdo-all-rnr-threads,rumours,552799317602615297,12,1,638.05,Unverified,
charliehebdo-all-rnr-threads,rumours,552799591255384065,11,1,97.05,False,
charliehebdo-all-rnr-threads,rumours,552799640488517632,13,1,405.6833333333333,Unverified,
charliehebdo-all-rnr-threads,rumours,552800045096259584,18,1,8720.483333333334,False,
charliehebdo-all-rnr-threads,rumours,552801438821515264,12,1,518.3166666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552801829290270720,33,1,139.91666666666666,False,
charliehebdo-all-rnr-threads,rumours,552801880812691456,8,1,59.56666666666667,False,
charliehebdo-all-rnr-threads,rumours,552801958428700672,12,1,22.28333333333333,False,
charliehebdo-all-rnr-threads,rumours,552802128688078848,13,1,214.41666666666663,Unverified,
charliehebdo-all-rnr-threads,rumours,552802606696136705,30,1,19.766666666666666,Unverified,
charliehebdo-all-rnr-threads,rumours,552802654641225728,8,1,173.8,Unverified,
charliehebdo-all-rnr-threads,rumours,552803839490150400,16,1,2040.4166666666667,Unverified,
charliehebdo-all-rnr-threads,rumours,552804394727927808,8,1,270.55,Unverified,
charliehebdo-all-rnr-threads,rumours,552804408233193473,4,1,216.15,Unverified,
charliehebdo-all-rnr-threads,rumours,552804763461775360,5,1,6.316666666666666,Unverified,
charliehebdo-all-rnr-threads,rumours,552804839886184448,10,1,197.33333333333331,Unverified,
charliehebdo-all-rnr-threads,rumours,552805267990413312,18,1,797.6666666666666,False,
charliehebdo-all-rnr-threads,rumours,552805488631758849,111,1,2984.9166666666665,Unverified,
charliehebdo-all-rnr-threads,rumours,552805596198871040,14,1,331.6333333333333,False,
charliehebdo-all-rnr-threads,rumours,552805619301097472,10,1,2082.1833333333334,False,
charliehebdo-all-rnr-threads,rumours,552806117328568321,4,1,17.233333333333334,Unverified,
